id,predominant_stress,miner,rust,phoma,cercospora,severity
1490,2,0,1,0,0,1
1491,2,0,1,0,1,1
1492,2,0,1,0,0,1
1493,2,0,1,0,0,3
1494,2,0,1,0,1,1
1495,2,0,1,0,0,2
1496,4,0,0,0,1,1
1498,2,0,1,0,0,1
1499,1,1,1,0,0,1
1500,2,0,1,0,1,1
1501,4,0,0,0,1,2
1502,2,0,1,0,0,2
1503,2,0,1,0,1,2
1504,1,1,0,0,0,1
1505,2,1,1,0,0,1
1506,2,0,1,0,0,1
1507,2,0,1,0,0,1
1508,2,0,1,0,0,1
1509,1,1,0,0,0,1
1510,2,0,1,0,0,1
1512,1,1,1,0,0,1
1513,2,0,1,0,0,1
1515,2,1,1,0,0,2
1516,2,0,1,0,0,2
1517,2,0,1,0,0,4
1518,2,0,1,0,0,1
1519,1,1,1,0,0,1
1520,2,0,1,0,0,2
1522,2,0,1,0,0,1
1523,2,0,1,0,1,1
1524,2,0,1,0,0,2
1526,2,0,1,0,0,1
1527,2,0,1,0,0,3
1528,2,0,1,0,0,1
1529,2,0,1,0,0,1
1530,2,0,1,0,0,1
1531,2,0,1,0,0,2
1532,2,1,1,0,0,1
1533,2,0,1,0,1,1
1534,2,1,1,0,0,2
1535,2,0,1,0,0,1
1536,2,0,1,0,0,1
1537,2,1,1,0,0,2
1538,4,0,1,0,1,1
1539,2,0,1,0,0,1
1540,2,0,1,0,0,1
1541,2,0,1,0,0,2
1542,1,1,0,0,0,1
1543,2,1,1,0,0,2
1544,2,0,1,0,0,2
1546,2,0,1,0,1,1
1547,2,0,1,0,0,2
1548,2,0,1,0,0,1
1549,4,0,0,0,1,1
1550,4,0,0,0,1,1
1551,2,0,1,0,1,1
1552,2,0,1,0,0,1
1553,4,0,0,0,1,1
1554,2,0,1,0,0,2
1555,4,1,0,0,1,1
1557,2,1,1,0,0,2
1559,2,0,1,0,0,1
1560,2,0,1,0,0,1
1561,2,0,1,0,0,3
1562,1,1,0,0,0,1
1563,2,0,1,0,0,1
1564,2,1,1,0,0,2
1566,2,0,1,0,0,1
1567,2,0,1,0,1,1
1568,2,0,1,0,0,1
1570,2,0,1,0,1,1
1571,2,1,1,0,0,1
1572,2,0,1,0,0,2
1573,4,0,0,0,1,2
1574,4,0,1,0,1,1
1575,4,0,1,0,1,1
1576,4,0,0,0,1,1
1577,4,0,0,0,1,1
1578,4,0,1,0,1,1
1579,4,0,1,0,1,1
1580,2,0,1,0,0,2
1581,2,0,1,0,0,3
1582,4,0,0,0,1,1
1583,2,0,1,0,1,1
1584,2,0,1,0,0,1
1585,1,1,0,0,0,1
1586,2,0,1,0,1,3
1589,4,0,1,0,1,1
1590,2,0,1,0,0,3
1591,4,0,0,0,1,1
1593,2,0,1,0,0,1
1594,2,0,1,0,0,1
1595,2,0,1,0,0,1
1597,2,0,1,0,0,1
1598,2,0,1,0,1,1
1599,2,0,1,0,1,1
1600,2,0,1,0,0,1
1601,4,0,0,0,1,1
1602,2,0,1,0,1,1
1603,2,0,1,0,0,1
1604,4,0,0,0,1,1
1605,2,0,1,0,1,2
1606,2,0,1,0,0,4
1607,2,0,1,0,0,2
1608,4,0,0,0,1,1
1609,2,0,1,0,1,2
1611,4,0,0,0,1,1
1612,2,0,1,0,0,1
1613,2,0,1,0,1,3
1614,2,0,1,0,1,1
1616,2,0,1,0,0,2
1617,2,0,1,0,0,1
1618,4,0,1,0,1,2
1620,2,0,1,0,1,2
1621,4,0,0,0,1,1
1622,2,0,1,0,0,1
1623,2,0,1,0,1,4
1624,0,0,0,0,0,0
1625,4,0,1,0,1,1
1626,2,0,1,0,0,1
1627,2,0,1,0,0,1
1628,2,0,1,0,0,1
1629,2,0,1,0,0,2
1630,4,0,0,0,1,1
1631,4,0,0,0,1,1
1632,2,1,1,0,0,2
1633,2,0,1,0,1,4
1634,4,0,1,0,1,1
1635,2,0,1,0,1,2
1636,4,0,1,0,1,1
1637,2,0,1,0,0,1
1639,2,0,1,0,1,1
1641,2,0,1,0,0,1
1642,4,0,1,0,1,3
1644,4,0,0,0,1,1
1645,2,0,1,0,1,1
1646,2,0,1,0,1,2
1647,2,0,1,0,1,4
1648,2,0,1,0,0,1
1649,2,0,1,0,0,1
1650,2,0,1,0,0,1
1651,2,0,1,0,0,1
1652,2,0,1,0,1,1
1653,4,0,0,0,1,1
1654,4,0,0,0,1,1
1655,4,0,0,0,1,1
1656,2,0,1,0,0,1
1657,2,0,1,0,1,2
1658,4,0,1,0,1,1
1659,4,0,1,0,1,2
1660,4,0,1,0,1,1
1661,4,0,1,0,1,1
1662,2,0,1,0,0,2
1663,4,0,1,0,1,2
1664,2,0,1,0,0,1
1666,2,0,1,0,1,2
1667,2,0,1,0,0,1
1668,2,0,1,0,1,1
1669,4,0,1,0,1,1
1671,2,0,1,0,0,1
1672,2,0,1,0,1,2
1673,4,0,0,0,1,1
1674,2,0,1,0,0,1
1675,4,0,0,0,1,1
1676,4,0,1,0,1,1
1677,4,0,0,0,1,1
1678,2,0,1,0,1,2
1679,2,1,1,0,0,2
1680,2,0,1,0,1,2
1681,2,0,1,0,1,2
1682,2,0,1,0,0,1
1683,0,0,0,0,0,0
1684,2,0,1,0,0,1
1685,0,0,0,0,0,0
1686,4,0,1,0,1,2
1687,2,0,1,0,1,1
1688,2,0,1,0,0,2
1689,4,0,1,0,1,1
1692,2,0,1,0,1,1
1693,2,0,1,0,1,1
1694,2,0,1,0,1,1
1695,2,0,1,0,0,2
1697,4,0,1,0,1,2
1698,2,0,1,0,1,2
1699,2,0,1,0,0,1
1700,4,0,0,0,1,1
1701,2,0,1,0,0,2
1702,2,0,1,0,1,1
1704,2,1,1,0,1,4
1705,2,0,1,0,0,3
1706,4,0,0,0,1,1
1707,2,0,1,0,1,3
1708,4,0,0,0,1,1
1709,2,0,1,0,1,1
1710,2,0,1,0,1,2
1711,4,0,1,0,1,1
1712,2,0,1,0,0,1
1714,1,1,0,0,0,1
1716,2,0,1,0,1,2
1717,2,1,1,0,0,1
1718,4,0,0,0,1,1
1719,4,0,0,0,1,1
1720,4,0,1,0,1,2
1721,2,0,1,0,0,1
1724,4,0,1,0,1,1
1725,4,0,0,0,1,1
1726,2,0,1,0,1,1
1727,4,0,1,0,1,2
1728,4,0,1,0,1,1
1729,2,0,1,0,0,1
1730,4,0,1,0,1,1
1732,4,0,1,0,1,1
1733,4,0,0,0,1,1
1734,2,0,1,0,0,1
1735,4,0,1,0,1,1
1736,3,0,0,1,0,1
1737,2,0,1,0,1,2
1738,2,0,1,0,1,2
1740,2,0,1,0,0,1
1741,4,0,1,0,1,2
1742,0,0,0,0,0,0
1743,2,0,1,0,0,2
1744,2,0,1,0,1,2
1745,4,0,1,0,1,1
1746,4,0,0,0,1,1
1747,2,0,1,0,1,1
